rank,word,cefr_level_estimate,part_of_speech,vietnamese_meaning,example,example_vietnamese,ranking_basis,source_urls
506,grid,B2,noun,lưới,The lecturer explained why grid was important to the topic.,Giảng viên giải thích tại sao lưới lại quan trọng đối với chủ đề này.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
507,regression,B2,noun,hồi quy,He began to show signs of regression to his childhood.,Anh bắt đầu có dấu hiệu quay trở lại tuổi thơ của mình.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
508,synthetic,B2,adjective,tổng hợp,That is synthetic rubber.,Đó là cao su tổng hợp.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
509,rejection,B2,noun,sự từ chối,The government's rejection of the plans is a setback for us.,Việc chính phủ từ chối các kế hoạch là một bước thụt lùi đối với chúng tôi.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
510,manufacturer,B2,noun,nhà sản xuất,Always follow the manufacturer's instructions.,Luôn làm theo hướng dẫn của nhà sản xuất.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
511,binding,B2,noun,ràng buộc,The lecturer explained why binding was important to the topic.,Giảng viên giải thích tại sao ràng buộc lại quan trọng đối với chủ đề này.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
512,candidate,B2,noun,ứng cử viên,We have a lot of candidates applying for this job.,Chúng tôi có rất nhiều ứng viên nộp đơn cho công việc này.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
513,margin,B2,noun,lề,"If I have any comments to make, I'll write them in the margin","Nếu tôi có ý kiến ​​gì, tôi sẽ viết chúng ở lề",B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
514,insert,B2,verb,chèn,"In order to play, you must first insert a coin into the slot.","Để chơi, trước tiên bạn phải nhét đồng xu vào khe.",CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
515,shipping,B2,noun,vận chuyển,The lecturer explained why shipping was important to the topic.,Giảng viên giải thích tại sao vận chuyển lại quan trọng đối với chủ đề này.,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
516,discipline,B2,noun,kỷ luật,teachers should be able to maintain the classroom discipline,giáo viên phải có khả năng duy trì kỷ luật lớp học,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
517,spray,B2,verb,phun,She sprays water onto her face,Cô ấy xịt nước lên mặt,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
518,miscellaneous,B2,adjective,linh tinh,"They receive a grant of £1,094 to cover the cost of miscellaneous expenses","Họ nhận được khoản trợ cấp £1,094 để trang trải chi phí linh tinh",CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
519,residual,C2,adjective,dư,The speaker described the situation as residual.,Người nói mô tả tình huống này là dư.,C2 quota; Octanove C1/C2 profile + corpus frequency + IELTS Listening relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
520,precisely,B2,adverb,chính xác,The telescope can precisely measure the distance of celestial objects.,Kính thiên văn có thể đo chính xác khoảng cách của các thiên thể.,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
521,friction,B2,n,ma sát,The lecturer explained why friction was important to the topic.,Giảng viên giải thích tại sao ma sát lại quan trọng đối với chủ đề này.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
522,adaptation,B2,n,sự thích ứng,The adaptation of a polar bear to the cold,Sự thích nghi của gấu Bắc Cực với cái lạnh,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
523,dense,B2,adj,dày đặc,Honey is much denser than water.,Mật ong đặc hơn nhiều so với nước.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
524,excessive,B2,adjective,quá mức,Eating excessive amounts of sugary foods can lead to health problems such as obesity and tooth decay.,Ăn quá nhiều thực phẩm có đường có thể dẫn đến các vấn đề sức khỏe như béo phì và sâu răng.,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
525,regardless,B2,adverb,bất kể,We carried on regardless of the weather.,Chúng tôi tiếp tục bất chấp thời tiết.,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
526,counter,B2,noun,bộ đếm,I asked the woman behind the counter if they had any postcards.,Tôi hỏi người phụ nữ phía sau quầy xem họ có tấm bưu thiếp nào không.,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
527,thoroughly,B2,adverb,triệt để,You should always check the contract thoroughly before signing.,Bạn phải luôn kiểm tra hợp đồng thật kỹ trước khi ký.,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
528,stimulus,B2,n pl.,kích thích,Books provide children with ideas and a stimulus for play.,Sách cung cấp cho trẻ những ý tưởng và sự kích thích để vui chơi.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
529,penalty,B2,noun,hình phạt,He scored the winning penalty.,Anh ấy đã ghi bàn thắng quyết định.,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
530,receptor,B2,n,thụ thể,The lecturer explained why receptor was important to the topic.,Giảng viên giải thích tại sao thụ thể lại quan trọng đối với chủ đề này.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
531,induction,C1,noun,cảm ứng,We're holding an induction for new employees today.,Hôm nay chúng tôi sẽ tổ chức buổi giới thiệu cho nhân viên mới.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
532,node,B2,n,nút,The lecturer explained why node was important to the topic.,Giảng viên giải thích tại sao nút lại quan trọng đối với chủ đề này.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
533,span,B2,verb,khoảng,his knowledge spans many different areas,kiến thức của anh ấy trải rộng trên nhiều lĩnh vực khác nhau,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
534,ethnic,B2,adjective,dân tộc,A question on ethnic origin was included in the census.,Một câu hỏi về nguồn gốc dân tộc đã được đưa vào cuộc điều tra dân số.,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
535,explicitly,B2,adv,cách rõ ràng,They made the rule explicitly,Họ đưa ra quy định một cách rõ ràng,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
536,economically,B2,adv,kinh tế,"As a student she lived very economically, rarely going out and buying very few clothes.","Khi còn là sinh viên, cô sống rất tiết kiệm, hiếm khi ra ngoài và mua rất ít quần áo.",CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
537,physiological,C2,adjective,sinh lý,The speaker described the situation as physiological.,Người nói mô tả tình huống này là sinh lý.,C2 quota; Octanove C1/C2 profile + corpus frequency + IELTS Listening relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
538,longitudinal,B2,adj,theo chiều dọc,The speaker described the situation as longitudinal.,Người nói mô tả tình huống này là theo chiều dọc.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
539,rear,B2,adjective,phía sau,I think there's a flat tire on one of my rear wheels.,Tôi nghĩ có một chiếc lốp bị xẹp ở một trong hai bánh sau của tôi.,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
540,interfere,B2,verb,can thiệp,I wish my mother would stop interfering and let me make my own decisions.,Tôi ước gì mẹ tôi đừng can thiệp nữa và để tôi tự quyết định.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
541,delta,B2,n,đồng bằng,the Mississippi delta,đồng bằng Mississippi,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
542,diagnostic,B2,adj,chẩn đoán,This is a diagnostic software used to find out the computer's illness,Đây là phần mềm chẩn đoán dùng để tìm ra bệnh của máy tính,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
543,theme,B2,noun,chủ đề,the theme of the sermon was reverence,chủ đề của bài giảng là sự tôn kính,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
544,continuity,C1,noun,sự liên tục,"To ensure continuity of care, it is better for a single doctor to treat the patient.","Để đảm bảo việc chăm sóc liên tục, tốt hơn là chỉ có một bác sĩ điều trị cho bệnh nhân.",C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
545,projection,B2,n,phép chiếu,Sales have exceeded our projections.,Doanh số bán hàng đã vượt quá dự đoán của chúng tôi.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
546,indicator,B2,n,chỉ số,The economic indicators are better than expected.,Các chỉ số kinh tế tốt hơn mong đợi.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
547,plot,B2,noun,âm mưu,A plot of land for sale,Cần bán lô đất,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
548,elastic,B2,adj,đàn hồi,A lot of sportswear is made of very elastic material.,Rất nhiều đồ thể thao được làm từ chất liệu rất co giãn.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
549,ritual,B2,n,nghi lễ,It takes several days to complete the ritual.,Phải mất vài ngày để hoàn thành nghi lễ.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
550,realm,B2,n,vương quốc,Robots are now entering the realm of music,Robot hiện đang bước vào lĩnh vực âm nhạc,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
551,treat,B2,verb,chữa trị,She is treated by the doctor,Cô ấy được bác sĩ chữa trị,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
552,approximation,B2,n,sự xấp xỉ,The lecturer explained why approximation was important to the topic.,Giảng viên giải thích tại sao sự xấp xỉ lại quan trọng đối với chủ đề này.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
553,computation,B2,n,tính toán,The lecturer explained why computation was important to the topic.,Giảng viên giải thích tại sao tính toán lại quan trọng đối với chủ đề này.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
554,consensus,B2,n pl.,sự đồng thuận,The committee couldn’t reach a consensus.,Ủy ban không thể đạt được sự đồng thuận.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
555,symbolic,B2,adj,mang tính biểu tượng,The skull is the symbolic icon of death in many countries,Đầu lâu là biểu tượng tượng trưng cho cái chết ở nhiều quốc gia,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
556,differentiation,B2,n,sự khác biệt,The differentiation between apples and oranges,Sự khác biệt giữa táo và cam,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
557,peripheral,B2,adj,ngoại vi,The speaker described the situation as peripheral.,Người nói mô tả tình huống này là ngoại vi.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
558,conceptual,B2,adj,khái niệm,The introduction lays out a conceptual framework for the book.,Phần giới thiệu đưa ra khung khái niệm cho cuốn sách.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
559,coordinate,B2,verb,phối hợp,We need someone to coordinate the whole campaign.,Chúng ta cần ai đó điều phối toàn bộ chiến dịch.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
560,virtually,B2,adverb,hầu như,They are virtually the same,Chúng gần như giống nhau,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
561,ideology,B2,n,hệ tư tưởng,The lecturer explained why ideology was important to the topic.,Giảng viên giải thích tại sao hệ tư tưởng lại quan trọng đối với chủ đề này.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
562,likelihood,C1,noun,khả năng,There is likelihood that there will be a storm tommorrow,Có khả năng ngày mai sẽ có bão,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
563,commuter,B2,noun,người đi lại,She's a subway commuter.,Cô ấy là một người đi tàu điện ngầm.,CEFR+Google Ngrams+Curated IELTS relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words
564,inflation,B2,noun,lạm phát,The lecturer explained why inflation was important to the topic.,Giảng viên giải thích tại sao lạm phát lại quan trọng đối với chủ đề này.,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
565,perception,B2,noun,nhận thức,Different people have different perception,Những người khác nhau có nhận thức khác nhau,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
566,sketch,B2,n,phác họa,"as they talked, Modigliani began to sketch her","khi họ nói chuyện, Modigliani bắt đầu phác họa cô ấy",CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
567,pine,B2,noun,cây thông,The lecturer explained why pine was important to the topic.,Giảng viên giải thích tại sao cây thông lại quan trọng đối với chủ đề này.,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
568,radius,B2,n,bán kính,The lecturer explained why radius was important to the topic.,Giảng viên giải thích tại sao bán kính lại quan trọng đối với chủ đề này.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
569,governmental,B2,adjective,chính phủ,The speaker described the situation as governmental.,Người nói mô tả tình huống này là chính phủ.,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
570,nominal,B2,adj,danh nghĩa,The speaker described the situation as nominal.,Người nói mô tả tình huống này là danh nghĩa.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
571,amplitude,B2,n,biên độ,The lecturer explained why amplitude was important to the topic.,Giảng viên giải thích tại sao biên độ lại quan trọng đối với chủ đề này.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
572,fusion,C1,noun,sự hợp nhất,The lecturer explained why fusion was important to the topic.,Giảng viên giải thích tại sao sự hợp nhất lại quan trọng đối với chủ đề này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
573,friendly,B2,adjective,thân thiện,The speaker described the situation as friendly.,Người nói mô tả tình huống này là thân thiện.,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
574,substrate,B2,verb,chất nền,The lecturer used the term “substrate” while explaining the procedure.,Giảng viên đã dùng từ “chất nền” khi giải thích quy trình.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
575,emergence,B2,n,sự xuất hiện,The agreement set the stage for the company's emergence from bankruptcy.,Thỏa thuận này đã tạo tiền đề cho công ty thoát khỏi tình trạng phá sản.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
576,substitution,B2,n,sự thay thế,A substitution was made during the game,Sự thay người được thực hiện trong trận đấu,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
577,recreation,B2,noun,giải trí,I think they will build a lot of recreation in the future,Tôi nghĩ họ sẽ xây dựng nhiều khu vui chơi giải trí trong tương lai,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
578,dental,B2,adjective,nha khoa,The speaker described the situation as dental.,Người nói mô tả tình huống này là nha khoa.,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
579,database,B2,noun,cơ sở dữ liệu,The database covers nine million workers,Cơ sở dữ liệu bao gồm chín triệu công nhân,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
580,reverse,B2,verb,đảo ngược,The car is trying to reverse,Chiếc xe đang cố gắng lùi lại,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
581,drain,B2,n,cống,She could feel the blood drain from her face.,Cô có thể cảm thấy máu chảy ra từ mặt mình.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
582,backward,B2,adv,lạc hậu,The lecturer used the term “backward” while explaining the procedure.,Giảng viên đã dùng từ “lạc hậu” khi giải thích quy trình.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
583,cardiovascular,B2,adjective,tim mạch,Stress can lead to serious cardiovascular diseases.,Căng thẳng có thể dẫn đến các bệnh tim mạch nghiêm trọng.,CEFR+Google Ngrams+Curated IELTS relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words
584,breakdown,B2,n,sự cố,This chart shows the breakdown of the US population by age and gender.,Biểu đồ này cho thấy sự phân chia dân số Hoa Kỳ theo độ tuổi và giới tính.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
585,fertility,B2,n,khả năng sinh sản,Anxiety and stress affect fertility in both men and women.,Lo lắng và căng thẳng ảnh hưởng đến khả năng sinh sản ở cả nam và nữ.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
586,inevitably,B2,adv,tất yếu,"If a domino falls, the next one will inevitably fall",Nếu một quân domino đổ thì quân tiếp theo chắc chắn sẽ đổ,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
587,editorial,B2,noun,biên tập,All the papers deal with the same subject in their editorials.,Tất cả các tờ báo đều đề cập đến cùng một chủ đề trong các bài xã luận của họ.,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
588,privilege,B2,noun,đặc quyền,Rich people have a lot more privilege than poor people.,Người giàu có nhiều đặc quyền hơn người nghèo.,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
589,memorial,B2,noun,đài tưởng niệm,Vietnam war memorial in Hanoi,Đài tưởng niệm chiến tranh Việt Nam tại Hà Nội,CEFR+Google Ngrams,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter
590,geological,C1,adjective,địa chất,The geological survey studied the rock formations in the area.,Cuộc khảo sát địa chất đã nghiên cứu sự hình thành đá trong khu vực.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
591,thread,B2,n,chủ đề,I’m looking for a needle and thread.,Tôi đang tìm kim và chỉ.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
592,soluble,B2,adj,hòa tan,Oil is not soluble in water.,Dầu không tan trong nước.,CEFR+Google Ngrams+NAWL,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list
